longrange1,latrange1,longrange2,latrange2
-43.83932060000002,-22.768931999999964,-43.789320600000025,-22.718931999999963
-43.83932060000002,-22.718931999999963,-43.789320600000025,-22.668931999999963
-43.83932060000002,-22.668931999999963,-43.789320600000025,-22.618931999999962
-43.83932060000002,-22.618931999999962,-43.789320600000025,-22.56893199999996
-43.83932060000002,-22.56893199999996,-43.789320600000025,-22.51893199999996
-43.83932060000002,-22.51893199999996,-43.789320600000025,-22.46893199999996
-43.83932060000002,-22.46893199999996,-43.789320600000025,-22.41893199999996
-43.83932060000002,-22.41893199999996,-43.789320600000025,-22.36893199999996
-43.83932060000002,-22.36893199999996,-43.789320600000025,-22.318931999999958
-43.83932060000002,-22.318931999999958,-43.789320600000025,-22.268931999999957
-43.83932060000002,-22.268931999999957,-43.789320600000025,-22.218931999999956
-43.83932060000002,-22.218931999999956,-43.789320600000025,-22.168931999999955
-43.83932060000002,-22.168931999999955,-43.789320600000025,-22.118931999999955
-43.83932060000002,-22.118931999999955,-43.789320600000025,-22.068931999999954
-43.789320600000025,-23.06893199999997,-43.73932060000003,-23.018931999999968
-43.789320600000025,-22.968931999999967,-43.73932060000003,-22.918931999999966
-43.789320600000025,-22.918931999999966,-43.73932060000003,-22.868931999999965
-43.789320600000025,-22.868931999999965,-43.73932060000003,-22.818931999999965
-43.789320600000025,-22.818931999999965,-43.73932060000003,-22.768931999999964
-43.789320600000025,-22.768931999999964,-43.73932060000003,-22.718931999999963
-43.789320600000025,-22.718931999999963,-43.73932060000003,-22.668931999999963
-43.789320600000025,-22.668931999999963,-43.73932060000003,-22.618931999999962
-43.789320600000025,-22.618931999999962,-43.73932060000003,-22.56893199999996
-43.789320600000025,-22.56893199999996,-43.73932060000003,-22.51893199999996
-43.789320600000025,-22.51893199999996,-43.73932060000003,-22.46893199999996
-43.789320600000025,-22.46893199999996,-43.73932060000003,-22.41893199999996
-43.789320600000025,-22.41893199999996,-43.73932060000003,-22.36893199999996
-43.789320600000025,-22.36893199999996,-43.73932060000003,-22.318931999999958
-43.789320600000025,-22.318931999999958,-43.73932060000003,-22.268931999999957
-43.789320600000025,-22.268931999999957,-43.73932060000003,-22.218931999999956
-43.789320600000025,-22.218931999999956,-43.73932060000003,-22.168931999999955
-43.789320600000025,-22.168931999999955,-43.73932060000003,-22.118931999999955
-43.789320600000025,-22.118931999999955,-43.73932060000003,-22.068931999999954
-43.789320600000025,-22.068931999999954,-43.73932060000003,-22.018931999999953
-43.73932060000003,-23.06893199999997,-43.68932060000003,-23.018931999999968
-43.73932060000003,-23.018931999999968,-43.68932060000003,-22.968931999999967
-43.73932060000003,-22.968931999999967,-43.68932060000003,-22.918931999999966
-43.73932060000003,-22.918931999999966,-43.68932060000003,-22.868931999999965
-43.73932060000003,-22.868931999999965,-43.68932060000003,-22.818931999999965
-43.73932060000003,-22.818931999999965,-43.68932060000003,-22.768931999999964
-43.73932060000003,-22.768931999999964,-43.68932060000003,-22.718931999999963
-43.73932060000003,-22.718931999999963,-43.68932060000003,-22.668931999999963
-43.73932060000003,-22.668931999999963,-43.68932060000003,-22.618931999999962
-43.73932060000003,-22.618931999999962,-43.68932060000003,-22.56893199999996
